Назва поля, Тип [1]_, Формат, Опис
**INVOICE**,,, Початок документа
DOCUMENTNAME, М, Рядок (16), Назва документа (380 - Рахунок)
NUMBER, М, Рядок (16), Номер рахунку
DATE, М, Дата (РРРР-ММ-ДД), Дата створення рахунку
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата поставки
CURRENCY, М, Рядок (3), Код валюти
ORDERNUMBER, М, Рядок (50), Номер замовлення
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYNOTENUMBER, O, Рядок (16), Номер накладної
DELIVERYNOTEDATE, O, Дата (РРРР-ММ-ДД), Дата накладної
REFERENCEINVOICENUMBER, O, Рядок (15), Номер рахунку
REFERENCEINVOICEDATE, O, Дата (РРРР-ММ-ДД), Дата рахунку
VATSUM, O, Число десяткове, Сума ПДВ
INVOICETOTALAMOUNT, O, Число десяткове, Сума за рахунком
TAXABLEAMOUNT, O, Число десяткове, База оподаткування
FISCALNUMBER, О, Рядок (35), ІПН
REGISTRATIONNUMBER, О, Рядок (35), ЄДРПОУ
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
CAMPAIGNNUMBERDATE, O, Дата (РРРР-ММ-ДД), Дата договору на поставку
MANAGER, О, Рядок (35), Ім'я менеджера
ACCOUNTING, О, Рядок (35), Ім'я головного бухгалтера
VAT, O, Число позитивне,"Ставка ПДВ,%"
**HEAD**,,, Початок основного блоку
SUPPLIER, М, Число (13), GLN постачальника
SUPPLIERNAME, O, Рядок (70), Ім'я постачальника
SUPPLIERADRESS, O, Рядок (70), Адреса постачальника
SUPPLIERCITY, O, Рядок (70), Місто постачальника
SUPPLIERZIP, O, Рядок (35), Індекс постачальника
BUYER, М, Число (13), GLN покупця
BUYERNAME, O, Рядок (35), Ім'я покупця
BUYERADRESS, O, Рядок (35), Адреса покупця
BUYERCITY, O, Рядок (35), Місто покупця
BUYERZIP, O, Число позитивне, Індекс покупця
BUYERKPP, O, Рядок (12), ЄДРПОУ покупця
BUYERINN, O, Число позитивне, ІПН покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М,"Число * 1, 100 +", Номер позиції.
PRODUCT, М,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
INVOICEDQUANTITY, М, Число позитивне, Кількість за рахунком
INVOICEUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
UNITPRICE, М, Число десяткове (5 знаків після коми), Ціна за одиницю (без ПДВ)
GROSSPRICE, O, Число десяткове (5 знаків після коми), Ціна за одиницю з ПДВ
AMOUNT, М, Число десяткове, Сума товару (без ПДВ)
DESCRIPTION, M, Рядок (70), Опис продукту
AMOUNTTYPE, O, Число (3), Службове поле (значення=203)
**TAX**,,, Логістика (початок блоку)
TAXTYPECODE, М, Рядок (3), Код податку (ПДВ)
TAXRATE, М, Число (3),"Ставка податку (ПДВ,%)"
TAXAMOUNT, М, Число десяткове, ПДВ
CATEGORY, М, Рядок (1),"S - стандартна, А - змішана, Z - нульовий збір"
**TAX**,,, Логістика (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**INVOICE**,,, Закінчення документа
