Назва поля, Тип [1]_, Формат, Опис
**PRICAT**,,, Початок документа
ACTION, O,"Число - «15», «16», «17», «18», «19»","Тип документа і вибір дії:

* 15 - прайс-лист для Distribution,
* 16 - масова очистка прайс-листа,
* 17 - прайс-лист з характеристиками товарної позиції,
* 18 - прайс-лист з цінами товарної позиції,
* 19 - запит прайс-листа на поточну дату"
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
DATEFROM, M (O - при ACTION = 17), Дата (РРРР-ММ-ДД), Прайс-лист вступає в силу з дати
DATETO, M (O - при ACTION = 17), Дата (РРРР-ММ-ДД),	Дата закінчення дії прайс-листа
SUPPLIER, M, Число (13), GLN Виробника
BUYER, M (O - при ACTION = 17), Число (13), GLN Дистриб'ютора
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M (O - при ACTION = 17), Число (13), GLN одержувача повідомлення
**CATALOGUE**,,, Каталог (початок блоку)
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, O, Число позитивне,"Номер товарної позиції (Порядковий номер товарної позиції в документі (1, 2, 3, 4 ... n))"
ACTION, O,"Число - «2», «3», «4», «27», «29»","Необхідна дія:

* 2 - додавання нових позицій,
* 3 - видалення позицій,
* 4 - зміна даних по позиції"
PRODUCTGROUP, M (O - при ACTION = 18), Рядок (75), Лінійка товарів
BRAND, M (O - при ACTION = 18), Рядок (75), Категорія товарів
SUBBRAND, M (O - при ACTION = 18), Рядок (75), Підкатегорія товарів
IDSUPPLIER, M, Рядок (16), Артикул
PRODUCTNAME, M (O - при ACTION = 18), Рядок (255), Повна назва продукту
PRODUCT, M, Ціле позитивне число (20), Штрих-код
IDPRODUCER, O, Рядок (8), Код Виробника
IDNATIONAL, O, Ціле позитивне число (20), Код товару за національним класифікатором (код УКТЗЕД)
UNITWEIGHT, O, Число з плаваючою точкою (максимально: 10 знаків до точки і 3 знака після точки), Вага одиниці (кг)
QUANTITYOFCUINTU, M (O - при ACTION = 18), Ціле позитивне число (10), Одиниць в коробці
BOXWEIGHT, O, Число з плаваючою точкою (максимально: 10 знаків до точки і 3 знака після точки), Вага коробки (кг)
BOXINLAYER, O, Ціле позитивне число (20), Коробок в шарі (шт.)
BOXINPALLET, O, Ціле позитивне число (20), Коробок на палеті (шт.)
PALLETWEIGHT, O, Число з плаваючою точкою (максимально: 10 знаків до точки і 3 знака після точки), Вага палети (кг)
UNIT, M (O - при ACTION=16/18/19), Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/Distribution/EDIN_2_0/XML/units_distr.html>`__
ACTUALQUANTITY, O, Число з плаваючою точкою (максимально: 10 знаків до точки і 3 знака після точки), Залишок по позиції
UNITPRICE, M (O - при ACTION = 17), Число з плаваючою точкою (максимально: 6 знаків до точки і 6 знака після точки), Ціна за одиницю без ПДВ (грн.)
PRICEWITHVAT, O, Число з плаваючою точкою (максимально: 6 знаків до точки і 6 знака після точки), Ціна за одиницю з ПДВ (грн.)
TAXRATE, O, "Ціле позитивне число - «20», «0», «7»", "Ставка ПДВ,%"
QUOTA, O, Число з плаваючою точкою (максимально: 10 знаків до точки і 3 знака після точки), Квота на замовлення
INFO, O, Рядок (255), Коментар
NEWPOSITION, O,"Число - «0», «1»", Новинка
PROMO, О,"Число - «0», «1»", Акція
PUBLICPOSITION, О,"Число - «0», «1»", Публічна позиція
**POSITION**,,, Товарні позиції (закінчення блоку)
**CATALOGUE**,,, Каталог (закінчення блоку)
**PRICAT**,,, Закінчення документа
