Назва поля, Тип [1]_, Формат, Опис
**PRODUCTLIST**, M,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
CONTRACTNUMBER, M, Рядок (50), Номер контракту
CONTRACTDESCRIPTION, O, Рядок (70), Опис контракту
CONTRACTEXPIRYDATE, M, Дата (РРРР-ММ-ДД), Дата закінчення дії контракту/специфікації
CONTRACTGLN, M, Число (13), GLN контракту
CAMPAIGNNUMBER, M, Рядок (20), Номер договору
CAMPAIGNDATE, M, Дата (РРРР-ММ-ДД), Дата договору
REVIEWDEADLINE, О, Число (3), Термін подачі на розгляд
AGREEMENTNUMBER, О, Число (3), Допустима кількість погоджень
DISCOUNTWORKSTATUS, M,"0,1","Робота з ціною зі знижкою: 0 - ні, 1 - так"
PROLONGATIONCONTRACT, O, Число,"Автоматична пролонгація контракту: 0 - ні, 1 - так"
**HEAD**, M,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN продавця
RECIPIENT, M, Число (13), GLN одержувача
SENDER, M, Число (13), GLN відправника
**POSITION**, М,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число ціле позитивне, Номер товарної позиції
ACTION, O,"Число (4, 2, 27)","Можливі значення:

* 4 - видалення товарної позиції,
* 2 або 27 - введення або оновлення товарної позиції"
PRODUCT, M,"Число (13)", Штрихкод продукту
PRODUCTIDBUYER, M, Рядок (15), Внутрішній номер в БД
DESCRIPTION, M, Рядок (255), Опис продукту
UCCFEA, O, Число (4-10), Код УКТ ЗЕД
DISCOUNTPRICE, O, "Число десяткове (10,4)", Ціна зі знижкою без ПДВ
DISCOUNTPRICEWITHVAT, О, "Число десяткове (10,4)", Ціна зі знижкою з ПДВ
DISCOUNTDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни зі знижкою
DISCOUNTDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни зі знижкою
PRICE, M, "Число десяткове (10,4)", Ціна без ПДВ
PRICEWITHVAT, O, "Число десяткове (10,4)", Ціна з ПДВ
PRICEDATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії ціни
PRICEDATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії ціни
PROMO, O, "Число десяткове (10,4)", Промо ціна без ПДВ
PROMOWITHVAT, O, "Число десяткове (10,4)", Промо ціна з ПДВ
PROMODATEFROM, O, Дата (РРРР-ММ-ДД), Початок дії промо ціни
PROMODATETO, O, Дата (РРРР-ММ-ДД), Закінчення дії промо ціни
PROMOQUANTITY, O, "Число десяткове (10,3)", Кількість товару
VAT, M,Число («20» / «7» / «0»),"Ставка ПДВ,%"
UNIT, M, Рядок (3),`Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**PRODUCTLIST**,,, Закінчення документа
